epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.10935,4.18461,9.49733,2.70916,0,0,0,0,5.11274,6.72794,3.21395,0,0,0.1
2,6.68563,4.57096,7.36362,2.68407,0,0,0,0,5.03632,6.81619,3.13966,9.01e-05,9.01e-05,0.0990901
3,7.02586,4.22078,7.61649,2.62809,0,0,0,0,4.91284,6.8878,3.05519,0.0001604,0.0001604,0.0981604
4,7.37721,4.17087,8.73081,2.75629,0,0,0,0,4.87803,6.89468,3.01865,0.0002109,0.0002109,0.0972109
5,7.8042,3.93948,8.28994,2.59782,0,0,0,0,3.76581,5.63333,2.16024,0.0002416,0.0002416,0.0962416
6,8.3498,2.90769,6.91299,1.85135,0,0,0,0,3.71609,5.64351,2.14777,0.0002525,0.0002525,0.0952525
7,8.83658,2.91383,6.62014,1.77275,0,0,0,0,3.50542,5.3686,2.18747,0.0002436,0.0002436,0.0942436
8,9.28484,2.97155,6.52009,1.63681,0,0,0,0,3.35631,5.24615,2.08591,0.0002149,0.0002149,0.0932149
9,9.8142,3.28017,5.63924,1.96139,0,0,0,0,3.24948,4.97807,2.06455,0.0001664,0.0001664,0.0921664
10,10.3138,2.58963,4.78762,1.68365,0,0,0,0,3.21614,4.82186,2.09386,9.81e-05,9.81e-05,0.0910981
