epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.66166,4.19252,7.70731,2.19563,0,0,0,0,3.21089,6.12424,1.34373,0,0,0.1
2,6.334,4.65436,9.65956,2.36558,0,0,0,0,3.23293,6.10924,1.33695,9.01e-05,9.01e-05,0.0990901
3,6.6201,3.59665,6.78962,1.88815,0,0,0,0,3.2341,5.99419,1.32564,0.0001604,0.0001604,0.0981604
4,7.12291,3.60656,6.59257,2.16164,0,0,0,0,3.2388,6.00737,1.32484,0.0002109,0.0002109,0.0972109
5,7.6228,4.79567,7.87133,2.38644,0,0,0,0,3.26688,5.95487,1.33315,0.0002416,0.0002416,0.0962416
6,7.91937,3.03754,6.96468,1.82071,0,0,0,0,3.22465,5.93779,1.33679,0.0002525,0.0002525,0.0952525
7,8.2942,4.23768,7.54127,2.21242,0,0,0,0,3.11302,4.32982,1.19762,0.0002436,0.0002436,0.0942436
8,8.82307,3.0664,6.44544,1.65801,0,0,0,0,2.67121,4.21816,1.12867,0.0002149,0.0002149,0.0932149
9,9.33081,2.6653,5.6013,1.29386,0,0,0,0,2.44066,4.08934,1.06996,0.0001664,0.0001664,0.0921664
10,9.85308,2.79682,5.01548,1.37292,0,0,0,0,2.21819,3.96011,1.05581,9.81e-05,9.81e-05,0.0910981
