epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.30066,4.22389,7.76829,2.20433,0,0,0,0,3.21973,7.13445,1.34651,0,0,0.1
2,5.57042,4.68055,9.72406,2.36732,0,0,0,0,3.22918,7.12733,1.33875,9.01e-05,9.01e-05,0.0990901
3,5.80347,3.58191,6.78309,1.89081,0,0,0,0,3.24637,6.94838,1.32856,0.0001604,0.0001604,0.0981604
4,6.08829,3.6253,6.59028,2.19647,0,0,0,0,3.23695,6.93937,1.32406,0.0002109,0.0002109,0.0972109
5,6.38394,4.63908,7.73008,2.29338,0,0,0,0,3.26763,6.86965,1.33403,0.0002416,0.0002416,0.0962416
6,6.6146,3.08355,6.75127,1.78367,0,0,0,0,3.2945,5.89265,1.33762,0.0002525,0.0002525,0.0952525
7,6.99446,3.31376,6.03305,1.65296,0,0,0,0,2.70755,5.38025,1.22215,0.0002436,0.0002436,0.0942436
8,7.34339,2.14014,5.30453,1.36834,0,0,0,0,2.55293,5.24726,1.20613,0.0002149,0.0002149,0.0932149
9,7.7701,2.69572,5.0953,1.36569,0,0,0,0,2.44517,4.90086,1.12694,0.0001664,0.0001664,0.0921664
