epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1342,3.00346,4.45698,1.69028,0.21085,0.0861,0.05112,0.01713,3.35056,5.45681,1.87004,0.00332026,0.00332026,0.0701176
2,129.52,2.74224,2.77684,1.56205,0.27562,0.19763,0.13264,0.03699,3.00027,3.11725,1.59793,0.00658772,0.00658772,0.0400518
3,194.589,2.60064,2.41818,1.49629,0.36565,0.32362,0.24342,0.07424,2.75725,2.67945,1.53746,0.00978919,0.00978919,0.00991991
4,260.605,2.51398,2.26041,1.45381,0.42454,0.34746,0.28845,0.09674,2.6519,2.46618,1.4817,0.009703,0.009703,0.009703
5,327.195,2.4354,2.08811,1.40206,0.44437,0.37948,0.32067,0.10406,2.60172,2.5087,1.4523,0.009604,0.009604,0.009604
6,389.541,2.3935,2.01442,1.38388,0.53728,0.44737,0.3971,0.15012,2.42028,2.22468,1.42328,0.009505,0.009505,0.009505
7,450.979,2.34397,1.95762,1.38413,0.58658,0.46929,0.41844,0.15819,2.37363,2.1974,1.39614,0.009406,0.009406,0.009406
8,513.354,2.31279,1.86876,1.35538,0.64033,0.5149,0.48762,0.19464,2.29924,2.01633,1.37561,0.009307,0.009307,0.009307
9,574.67,2.29415,1.81553,1.3567,0.67089,0.54177,0.50549,0.20123,2.2947,1.99951,1.36942,0.009208,0.009208,0.009208
10,636.034,2.27682,1.81136,1.33717,0.66876,0.55357,0.51923,0.1973,2.27549,1.97661,1.35952,0.009109,0.009109,0.009109
11,694.318,2.25534,1.7627,1.34264,0.6644,0.55235,0.51611,0.2056,2.24,1.96894,1.36665,0.00901,0.00901,0.00901
12,752.764,2.25035,1.72959,1.32153,0.64033,0.5135,0.48354,0.18298,2.34077,2.03279,1.3662,0.008911,0.008911,0.008911
13,814.044,2.21019,1.6913,1.31062,0.66503,0.56303,0.53187,0.21172,2.24162,1.91792,1.35432,0.008812,0.008812,0.008812
14,875.402,2.19797,1.67601,1.3273,0.67419,0.58754,0.53709,0.22068,2.20537,1.89237,1.34365,0.008713,0.008713,0.008713
15,936.026,2.17607,1.65035,1.30664,0.68413,0.54904,0.53966,0.22095,2.22056,1.91728,1.3418,0.008614,0.008614,0.008614
16,996.718,2.14477,1.59005,1.29247,0.70948,0.59893,0.58301,0.24543,2.19593,1.81498,1.33624,0.008515,0.008515,0.008515
17,1057.76,2.16013,1.63407,1.29903,0.69845,0.59325,0.56662,0.23454,2.21129,1.78262,1.34285,0.008416,0.008416,0.008416
18,1118.59,2.15186,1.61019,1.31019,0.72282,0.57443,0.56791,0.23438,2.22479,1.83989,1.34836,0.008317,0.008317,0.008317
19,1179.24,2.13825,1.57168,1.28973,0.69727,0.56457,0.57137,0.20844,2.28407,1.80644,1.35247,0.008218,0.008218,0.008218
20,1239.76,2.12366,1.54846,1.28814,0.76409,0.61341,0.6227,0.2612,2.18033,1.76592,1.34672,0.008119,0.008119,0.008119
21,1300.49,2.09314,1.48822,1.26739,0.81946,0.60418,0.6418,0.27816,2.14982,1.58143,1.33455,0.00802,0.00802,0.00802
22,1361.41,2.10346,1.49835,1.27538,0.78895,0.62864,0.63269,0.27964,2.12614,1.71744,1.31938,0.007921,0.007921,0.007921
23,1421.86,2.07386,1.46634,1.26506,0.82909,0.60141,0.6427,0.27201,2.16822,1.5948,1.3222,0.007822,0.007822,0.007822
24,1482.24,2.07116,1.46,1.26081,0.81539,0.62276,0.65906,0.28429,2.13428,1.55858,1.32133,0.007723,0.007723,0.007723
25,1543.22,2.07326,1.447,1.26528,0.83527,0.61789,0.66191,0.29922,2.11005,1.57705,1.31837,0.007624,0.007624,0.007624
26,1603.94,2.0657,1.43574,1.26592,0.82093,0.56453,0.62574,0.26882,2.14472,1.59854,1.31778,0.007525,0.007525,0.007525
27,1664.44,2.04206,1.3953,1.25836,0.82724,0.63226,0.6605,0.28677,2.13502,1.59967,1.31692,0.007426,0.007426,0.007426
28,1724.69,2.04829,1.39583,1.26669,0.86646,0.64417,0.68573,0.29653,2.12361,1.53509,1.31372,0.007327,0.007327,0.007327
29,1785.42,2.02037,1.3806,1.24778,0.73697,0.50123,0.58142,0.2482,2.16625,1.68621,1.31559,0.007228,0.007228,0.007228
30,1846.14,2.02699,1.37987,1.25388,0.87212,0.66751,0.70827,0.31974,2.06937,1.47595,1.30005,0.007129,0.007129,0.007129
31,1906.36,2.00829,1.36265,1.25631,0.86866,0.65093,0.70142,0.32027,2.06943,1.47635,1.30688,0.00703,0.00703,0.00703
32,1966.54,2.00203,1.346,1.24489,0.86613,0.66355,0.70004,0.3226,2.06455,1.48187,1.30409,0.006931,0.006931,0.006931
33,2027.21,1.99338,1.33101,1.24425,0.85471,0.65013,0.69589,0.30647,2.10039,1.50826,1.31752,0.006832,0.006832,0.006832
34,2087.79,1.98896,1.33191,1.23145,0.8602,0.64629,0.69648,0.32034,2.06374,1.44646,1.29734,0.006733,0.006733,0.006733
35,2147.94,1.98871,1.34153,1.23528,0.85465,0.67526,0.70588,0.32969,2.03541,1.50894,1.2926,0.006634,0.006634,0.006634
36,2208.4,1.97789,1.3266,1.23741,0.88086,0.66871,0.70387,0.32833,2.0578,1.48304,1.30172,0.006535,0.006535,0.006535
37,2269.3,1.98561,1.31868,1.2315,0.87405,0.66996,0.71174,0.3308,2.05293,1.44903,1.30159,0.006436,0.006436,0.006436
38,2330.48,1.98202,1.30551,1.23158,0.88209,0.67964,0.72213,0.33462,2.03525,1.40869,1.29317,0.006337,0.006337,0.006337
39,2391.78,1.96273,1.28738,1.23416,0.89296,0.67971,0.72396,0.33515,2.04226,1.40299,1.29885,0.006238,0.006238,0.006238
40,2452.59,1.94657,1.27881,1.23636,0.88449,0.67396,0.71559,0.3407,2.02931,1.43133,1.28974,0.006139,0.006139,0.006139
41,2514.26,1.9425,1.27222,1.22962,0.89285,0.67772,0.71977,0.33956,2.02521,1.4148,1.2941,0.00604,0.00604,0.00604
42,2575.47,1.94558,1.25389,1.21203,0.88011,0.67822,0.71507,0.32605,2.03973,1.4263,1.29307,0.005941,0.005941,0.005941
43,2636.72,1.93319,1.23404,1.21879,0.89284,0.68097,0.7219,0.34672,2.01754,1.41861,1.28451,0.005842,0.005842,0.005842
44,2697.69,1.91889,1.26058,1.22164,0.89552,0.67641,0.72738,0.34855,2.0161,1.38552,1.29449,0.005743,0.005743,0.005743
45,2759.48,1.92391,1.24769,1.21411,0.88891,0.68944,0.72598,0.34272,2.03189,1.40364,1.29135,0.005644,0.005644,0.005644
46,2820.66,1.93771,1.2396,1.22483,0.89922,0.67936,0.72993,0.33277,2.0766,1.36894,1.31173,0.005545,0.005545,0.005545
47,2881.6,1.91536,1.22232,1.19827,0.89507,0.69375,0.7368,0.3497,2.03822,1.36955,1.29832,0.005446,0.005446,0.005446
48,2942.67,1.91016,1.23695,1.21188,0.89598,0.6929,0.73487,0.34571,2.01402,1.387,1.28915,0.005347,0.005347,0.005347
49,3003.86,1.89236,1.21357,1.19899,0.90615,0.6908,0.73825,0.35218,2.02034,1.36699,1.29432,0.005248,0.005248,0.005248
50,3064.87,1.89385,1.20756,1.20332,0.90479,0.6954,0.73828,0.35737,2.00935,1.36493,1.28685,0.005149,0.005149,0.005149
51,3125.83,1.88984,1.20154,1.20408,0.90571,0.69653,0.73978,0.35465,1.99806,1.34267,1.28305,0.00505,0.00505,0.00505
52,3187.38,1.91137,1.22671,1.21617,0.89604,0.69335,0.74192,0.34065,2.03465,1.3538,1.28533,0.004951,0.004951,0.004951
53,3248,1.86414,1.18889,1.18746,0.90206,0.69671,0.73639,0.34562,2.04719,1.35695,1.30272,0.004852,0.004852,0.004852
54,3308.31,1.86858,1.18896,1.1998,0.90217,0.69465,0.74115,0.34325,2.04252,1.34703,1.29186,0.004753,0.004753,0.004753
55,3368.39,1.85327,1.16309,1.17699,0.89812,0.70137,0.74312,0.35116,2.01976,1.32521,1.2944,0.004654,0.004654,0.004654
56,3428.76,1.83966,1.15591,1.18119,0.87804,0.68847,0.72959,0.33789,2.06249,1.3769,1.32591,0.004555,0.004555,0.004555
57,3489.06,1.85439,1.17587,1.18545,0.90204,0.70404,0.74942,0.36812,1.96381,1.32531,1.27428,0.004456,0.004456,0.004456
58,3549.84,1.84054,1.16234,1.17981,0.90736,0.71031,0.75135,0.35791,2.0009,1.33493,1.29146,0.004357,0.004357,0.004357
59,3609.86,1.84788,1.16797,1.16924,0.91288,0.70344,0.74781,0.35756,2.00654,1.31478,1.27893,0.004258,0.004258,0.004258
60,3678.54,1.82565,1.13541,1.16454,0.90636,0.70837,0.75547,0.3728,1.96519,1.27703,1.27671,0.004159,0.004159,0.004159
