epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77185,4.46694,7.26986,2.60666,0,0,0,0,5.22193,6.68172,3.16839,0,0,0.1
2,2.7417,4.30963,7.8492,2.64681,0,0,0,0,5.17061,6.69121,3.12505,8.7625e-05,8.7625e-05,0.0990876
3,3.41758,2.59169,8.11391,1.86254,0,0,0,0,5.16415,6.6883,3.09891,0.0001505,0.0001505,0.0981505
4,3.987,5.00408,7.00407,2.92586,0,0,0,0,5.12163,6.64255,3.06459,0.000188625,0.000188625,0.0971886
5,4.66207,3.90226,7.19485,2.78954,0,0,0,0,3.18094,4.315,1.9234,0.000202,0.000202,0.096202
6,5.3083,3.64617,5.60545,2.13184,0,0,0,0,3.50569,4.16921,1.9325,0.000190625,0.000190625,0.0951906
7,5.81516,2.06649,5.10256,1.51221,0,0,0,0,3.60361,4.03035,2.06242,0.0001545,0.0001545,0.0941545
8,6.19488,2.52196,4.69567,1.83586,0,0,0,0,3.61597,3.89518,2.09222,9.3625e-05,9.3625e-05,0.0930936
