epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0473,3.03463,3.83411,1.70742,0.13279,0.06496,0.0415,0.01471,3.77899,4.09313,1.90826,0.00332031,0.00332031,0.0701172
2,77.5524,2.82802,2.97241,1.61214,0.80389,0.05598,0.05522,0.01715,3.4611,3.90447,1.92081,0.00632429,0.00632429,0.0397878
3,116.086,2.67995,2.63673,1.52516,0.36339,0.20506,0.17382,0.06308,2.82791,3.16744,1.60999,0.00899827,0.00899827,0.00912848
4,151.719,2.59636,2.40889,1.48589,0.43561,0.31979,0.26941,0.09541,2.65486,2.51342,1.51855,0.008515,0.008515,0.008515
5,189.853,2.5065,2.23404,1.45002,0.45982,0.3411,0.29704,0.10945,2.54375,2.58201,1.46639,0.00802,0.00802,0.00802
6,225.487,2.46385,2.14076,1.42931,0.49954,0.37441,0.32208,0.10873,2.56938,2.30925,1.46447,0.007525,0.007525,0.007525
7,263.669,2.42059,2.06681,1.40196,0.52905,0.33576,0.31719,0.10614,2.68498,2.30755,1.4908,0.00703,0.00703,0.00703
8,303.135,2.3974,2.01736,1.3928,0.48779,0.41417,0.35546,0.12799,2.50344,2.17185,1.42861,0.006535,0.006535,0.006535
9,341.765,2.34765,1.94668,1.36921,0.55663,0.40266,0.36514,0.12487,2.58831,2.19331,1.45655,0.00604,0.00604,0.00604
10,378.884,2.31974,1.8958,1.3557,0.59584,0.47439,0.4395,0.1745,2.36896,2.12159,1.40766,0.005545,0.005545,0.005545
11,444.591,2.24559,1.8457,1.45973,0.62487,0.44234,0.43553,0.16835,2.37726,2.11557,1.40313,0.00505,0.00505,0.00505
12,486.141,2.21509,1.79848,1.43152,0.63309,0.46681,0.45528,0.17688,2.35805,2.05722,1.39074,0.004555,0.004555,0.004555
13,522.056,2.18199,1.72832,1.41307,0.60979,0.44742,0.42875,0.15439,2.47378,2.06669,1.41307,0.00406,0.00406,0.00406
14,556.841,2.15052,1.69113,1.40607,0.64133,0.49497,0.47265,0.19269,2.26552,2.00175,1.37135,0.003565,0.003565,0.003565
15,591.538,2.13008,1.65633,1.39184,0.67164,0.51162,0.50283,0.20148,2.26334,1.93276,1.34985,0.00307,0.00307,0.00307
16,626.726,2.1193,1.63379,1.38503,0.69359,0.52997,0.52353,0.21255,2.24718,1.90427,1.34723,0.002575,0.002575,0.002575
17,664.347,2.06852,1.56435,1.37089,0.70755,0.53236,0.54241,0.23346,2.19998,1.83143,1.34707,0.00208,0.00208,0.00208
18,703.042,2.04746,1.5179,1.36091,0.74335,0.54049,0.57222,0.23883,2.19501,1.76325,1.33251,0.001585,0.001585,0.001585
19,742.392,2.02211,1.48244,1.34749,0.75322,0.56411,0.58435,0.25442,2.155,1.77948,1.32585,0.00109,0.00109,0.00109
20,779.541,2.00116,1.45194,1.33428,0.77602,0.55722,0.59328,0.25471,2.17182,1.70629,1.32741,0.000595,0.000595,0.000595
