epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.675,3.04501,3.80935,1.71649,0.14051,0.09034,0.05756,0.01638,3.44663,4.57418,1.79592,0.00332026,0.00332026,0.0701176
2,230.647,2.82914,2.9744,1.58852,0.37599,0.07983,0.06202,0.01864,3.43196,3.69474,1.71368,0.00652444,0.00652444,0.0399885
3,267.564,2.65401,2.57615,1.5383,0.29451,0.19045,0.15112,0.05215,2.9235,3.19954,1.63279,0.0095992,0.0095992,0.00972992
4,329.804,2.61566,2.43715,1.49274,0.38123,0.24818,0.20109,0.06317,2.89093,2.59348,1.57721,0.00941765,0.00941765,0.00941765
5,405.61,2.55181,2.31311,1.45866,0.45812,0.33362,0.2794,0.09527,2.75162,2.5505,1.56609,0.00922353,0.00922353,0.00922353
6,438.572,2.49604,2.19738,1.42971,0.45516,0.33784,0.29547,0.10875,2.54295,2.52698,1.45201,0.00902941,0.00902941,0.00902941
7,471.311,2.44224,2.08361,1.42158,0.55037,0.41695,0.3864,0.14287,2.48873,2.24315,1.44761,0.00883529,0.00883529,0.00883529
8,504.349,2.41062,2.03141,1.39603,0.50769,0.32156,0.30039,0.09902,2.76356,2.36807,1.50167,0.00864118,0.00864118,0.00864118
9,538.403,2.3685,1.95643,1.38753,0.58906,0.439,0.41772,0.15289,2.42338,2.14748,1.41812,0.00844706,0.00844706,0.00844706
10,581.124,2.37586,1.95848,1.38424,0.56905,0.44472,0.41324,0.14625,2.43948,2.20128,1.41282,0.00825294,0.00825294,0.00825294
11,652.549,2.30384,1.87675,1.36776,0.63178,0.47019,0.44548,0.17341,2.38624,2.10913,1.41174,0.00805882,0.00805882,0.00805882
12,744.61,2.32479,1.87823,1.35258,0.63731,0.46358,0.44542,0.16916,2.39822,2.06806,1.41368,0.00786471,0.00786471,0.00786471
13,811.537,2.30202,1.85982,1.34515,0.64157,0.49651,0.47146,0.18398,2.32956,2.0693,1.39239,0.00767059,0.00767059,0.00767059
14,906.62,2.28596,1.82176,1.35769,0.68294,0.5044,0.49641,0.20367,2.30308,1.90856,1.3847,0.00747647,0.00747647,0.00747647
15,1002.09,2.25875,1.78396,1.33656,0.65612,0.48452,0.47901,0.18663,2.29837,1.99313,1.3708,0.00728235,0.00728235,0.00728235
16,1039.51,2.22957,1.74537,1.33053,0.71507,0.52357,0.5382,0.22302,2.26847,1.84601,1.36649,0.00708824,0.00708824,0.00708824
17,1076.8,2.24597,1.72716,1.3377,0.69817,0.49975,0.51276,0.20081,2.3004,1.85971,1.35251,0.00689412,0.00689412,0.00689412
18,1115.55,2.23036,1.71223,1.33824,0.76033,0.52756,0.56477,0.24072,2.2317,1.73925,1.35477,0.0067,0.0067,0.0067
19,1153.24,2.19942,1.66558,1.31562,0.72328,0.53377,0.54689,0.21804,2.25798,1.88541,1.35978,0.00650588,0.00650588,0.00650588
20,1190.92,2.19455,1.66687,1.31754,0.77806,0.55027,0.57941,0.2335,2.25084,1.74336,1.35127,0.00631176,0.00631176,0.00631176
21,1228.78,2.17337,1.63688,1.29301,0.7775,0.53826,0.57167,0.24312,2.22185,1.83568,1.34417,0.00611765,0.00611765,0.00611765
22,1297.05,2.17797,1.62431,1.30318,0.75483,0.54709,0.57537,0.23363,2.30489,1.77202,1.39796,0.00592353,0.00592353,0.00592353
23,1380.88,2.15506,1.58897,1.29251,0.75626,0.5571,0.58206,0.25171,2.19939,1.73514,1.35318,0.00572941,0.00572941,0.00572941
24,1435,2.16606,1.5977,1.2964,0.81073,0.55277,0.59647,0.25652,2.21759,1.67714,1.34703,0.00553529,0.00553529,0.00553529
25,1475.43,2.13562,1.55774,1.28938,0.82581,0.57636,0.62086,0.27138,2.18068,1.66694,1.3374,0.00534118,0.00534118,0.00534118
26,1515.96,2.13723,1.55918,1.29298,0.81305,0.58639,0.61458,0.27033,2.19157,1.69245,1.34607,0.00514706,0.00514706,0.00514706
27,1556.31,2.1163,1.52947,1.28786,0.74762,0.52705,0.55298,0.22635,2.27575,1.88582,1.36383,0.00495294,0.00495294,0.00495294
28,1593.79,2.10357,1.5033,1.28824,0.80305,0.56006,0.59904,0.24442,2.24056,1.65411,1.35007,0.00475882,0.00475882,0.00475882
29,1630.21,2.10497,1.51291,1.27378,0.79825,0.59456,0.62291,0.27404,2.16124,1.64962,1.32828,0.00456471,0.00456471,0.00456471
30,1690.8,2.08531,1.50167,1.2708,0.85354,0.58704,0.63313,0.26909,2.18104,1.61466,1.33088,0.00437059,0.00437059,0.00437059
31,1775.33,2.07828,1.49279,1.27399,0.82832,0.58673,0.62668,0.27429,2.16341,1.61056,1.33536,0.00417647,0.00417647,0.00417647
32,1901.42,2.08188,1.46057,1.26745,0.8406,0.59296,0.64071,0.2772,2.16814,1.58509,1.3354,0.00398235,0.00398235,0.00398235
33,1959.72,2.04058,1.46178,1.25749,0.83945,0.60726,0.64781,0.29209,2.12925,1.56618,1.32122,0.00378824,0.00378824,0.00378824
