epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.28088,4.34713,7.01741,1.79346,0,0,0,0,3.17139,5.83748,1.30269,0,0,0.1
2,3.22946,3.53859,7.34181,1.73147,0,0,0,0,3.19132,5.79282,1.30535,9.901e-05,9.901e-05,0.099099
3,3.91965,3.34002,7.19455,1.31872,0,0,0,0,3.24893,5.74948,1.3139,0.00019604,0.00019604,0.098196
4,4.38976,3.20313,7.95526,1.47804,0,0,0,0,3.24884,5.75626,1.31529,0.00029109,0.00029109,0.0972911
5,4.8199,4.33805,7.54817,1.85282,0,0,0,0,3.24034,5.72421,1.31783,0.00038416,0.00038416,0.0963842
6,5.3199,3.64906,8.47647,1.48406,0,0,0,0,3.48892,5.79514,1.34149,0.00047525,0.00047525,0.0954753
7,6.42907,2.23635,7.62983,1.15059,0,0,0,0,2.73587,6.15565,1.30208,0.00056436,0.00056436,0.0945644
8,6.95836,3.34931,5.25079,1.43208,0,0,0,0,2.44063,6.21476,1.16259,0.00065149,0.00065149,0.0936515
9,7.62588,3.10095,5.10939,1.27973,0,0,0,0,2.2695,5.64811,1.14083,0.00073664,0.00073664,0.0927366
10,8.45299,3.17829,4.84892,1.20137,0,0,0,0,2.26238,5.34241,1.09542,0.00081981,0.00081981,0.0918198
11,9.19901,2.76915,4.72689,1.18697,0,0,0,0,1.79025,4.94495,1.03228,0.000901,0.000901,0.090901
12,9.79609,3.09357,4.54431,1.1269,0,0,0,0,2.37145,5.02524,1.19569,0.00098021,0.00098021,0.0899802
13,10.38,2.43185,3.85143,1.10121,0,0,0,0,3.29141,5.04485,1.49623,0.00105744,0.00105744,0.0890574
