epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8388,3.05575,3.8431,1.73336,0.29691,0.10073,0.05721,0.01758,3.2315,3.77694,1.80453,0.00332026,0.00332026,0.0701176
2,85.9554,2.81177,2.96488,1.60009,0.21887,0.14721,0.10026,0.0323,3.03515,3.10222,1.65068,0.00632424,0.00632424,0.0397883
3,126.273,2.68014,2.60404,1.53827,0.38285,0.24226,0.19205,0.06774,2.70357,2.80145,1.5747,0.00899822,0.00899822,0.00912894
4,165.168,2.58601,2.40665,1.49037,0.30884,0.2215,0.16277,0.05209,2.87036,2.86599,1.54693,0.008515,0.008515,0.008515
5,203.359,2.5349,2.27773,1.44512,0.33747,0.22133,0.16624,0.05519,2.85667,2.77334,1.55561,0.00802,0.00802,0.00802
6,238.835,2.45221,2.14737,1.40917,0.52009,0.38309,0.34424,0.12553,2.50252,2.30294,1.50751,0.007525,0.007525,0.007525
7,278.697,2.42726,2.07258,1.41675,0.56265,0.39922,0.37512,0.13715,2.48372,2.21887,1.4936,0.00703,0.00703,0.00703
8,312.835,2.37253,1.97715,1.38286,0.59866,0.40434,0.40029,0.16119,2.36378,2.16339,1.41547,0.006535,0.006535,0.006535
9,349.857,2.35452,1.9333,1.38198,0.60015,0.45059,0.42825,0.16624,2.35194,2.06476,1.41922,0.00604,0.00604,0.00604
10,385.619,2.33405,1.89067,1.35875,0.61095,0.45078,0.43153,0.16882,2.35173,2.05487,1.39803,0.005545,0.005545,0.005545
11,451.002,2.23695,1.83286,1.44589,0.64147,0.46458,0.4313,0.16797,2.35013,2.02214,1.39329,0.00505,0.00505,0.00505
12,490.917,2.19622,1.75225,1.41851,0.62163,0.47487,0.44429,0.1779,2.29593,1.97317,1.38582,0.004555,0.004555,0.004555
13,530.906,2.16356,1.7109,1.41245,0.65992,0.50069,0.48699,0.19574,2.26248,1.85585,1.37722,0.00406,0.00406,0.00406
14,570.705,2.17531,1.69365,1.39729,0.62399,0.47933,0.46233,0.18156,2.29192,1.92033,1.37025,0.003565,0.003565,0.003565
15,611.557,2.12236,1.6448,1.38499,0.68172,0.48169,0.49904,0.21721,2.18918,1.85604,1.34751,0.00307,0.00307,0.00307
16,651.925,2.09553,1.60354,1.37827,0.70032,0.49124,0.51509,0.22394,2.20148,1.84347,1.35853,0.002575,0.002575,0.002575
17,691.792,2.0801,1.55553,1.36487,0.70726,0.49037,0.53263,0.22983,2.20545,1.80151,1.34855,0.00208,0.00208,0.00208
18,734.403,2.06337,1.51723,1.36008,0.77331,0.50994,0.55082,0.24889,2.15342,1.73994,1.34122,0.001585,0.001585,0.001585
19,775.788,2.03586,1.47603,1.35308,0.78581,0.53641,0.57621,0.25645,2.15516,1.67192,1.33774,0.00109,0.00109,0.00109
20,815.469,2.01812,1.44872,1.34408,0.78783,0.54782,0.58334,0.26101,2.13403,1.66483,1.33191,0.000595,0.000595,0.000595
