epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.07455,3.76439,6.06411,3.24912,0,0,0,0,3.94605,7.95907,2.53957,0,0,0.1
2,6.70015,5.23462,6.53924,3.25199,0,0,0,0,3.85753,8.06773,2.51579,9.01e-05,9.01e-05,0.0990901
3,7.20855,3.73237,6.01446,3.09979,0,0,0,0,3.85768,7.85408,2.46635,0.0001604,0.0001604,0.0981604
4,7.80691,5.1223,8.49623,3.02977,0,0,0,0,2.91594,6.59119,1.78206,0.0002109,0.0002109,0.0972109
5,8.49436,4.32797,6.00052,2.19046,0,0,0,0,2.8664,6.06564,1.67662,0.0002416,0.0002416,0.0962416
6,9.11284,2.96715,4.9363,1.88079,0,0,0,0,2.67088,5.47978,1.61523,0.0002525,0.0002525,0.0952525
7,9.71422,4.10119,5.24997,1.76466,0,0,0,0,2.62396,5.47217,1.60064,0.0002436,0.0002436,0.0942436
8,10.34,2.76631,4.38634,1.70319,0,0,0,0,2.4052,5.22262,1.50551,0.0002149,0.0002149,0.0932149
9,10.9416,2.55252,3.84449,1.54764,0,0,0,0,2.27329,5.00534,1.48788,0.0001664,0.0001664,0.0921664
10,11.5683,2.7861,4.20546,2.06185,0,0,0,0,2.43362,4.95333,1.55915,9.81e-05,9.81e-05,0.0910981
