epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7914,4.88871,45.0266,2.75305,0,0,0,0,4.135,12.8249,2.3317,0,0,0.1
2,22.5915,2.84469,18.4381,2.07553,0,0,0,0,4.14367,13.0935,2.34719,9.01e-05,9.01e-05,0.0990901
3,24.0508,3.99587,33.0365,2.03659,0,0,0,0,4.11884,13.6392,2.36254,0.0001604,0.0001604,0.0981604
4,25.5845,3.51828,38.1931,2.3546,0,0,0,0,4.11729,14.121,2.38879,0.0002109,0.0002109,0.0972109
5,27.1789,3.63158,44.364,1.89781,0,0,0,0,4.10664,14.235,2.3847,0.0002416,0.0002416,0.0962416
6,28.8009,3.13334,35.0802,2.02468,0,0,0,0,4.09874,14.7336,2.35226,0.0002525,0.0002525,0.0952525
7,30.4645,3.74913,18.599,2.39999,0,0,0,0,4.07518,15.6273,2.36867,0.0002436,0.0002436,0.0942436
8,31.992,3.75691,18.2275,2.2101,0,0,0,0,4.82099,33.9687,3.36659,0.0002149,0.0002149,0.0932149
9,37.4673,3.38551,7.80599,1.9811,0,0,0,0,5.31995,37.3713,3.77269,0.0001664,0.0001664,0.0921664
10,41.014,1.97286,4.50304,1.32232,0,0,0,0,5.37125,23.882,3.86603,9.81e-05,9.81e-05,0.0910981
