epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7183,2.78449,6.02164,1.63845,0,0,0,0,2.66512,9.18684,1.44989,0,0,0.1
2,11.387,3.38547,6.14059,1.88922,0,0,0,0,2.68712,9.54607,1.46054,9.01e-05,9.01e-05,0.0990901
3,11.9434,3.26928,6.39055,1.53459,0,0,0,0,2.71209,9.59705,1.47507,0.0001604,0.0001604,0.0981604
4,12.4269,2.64267,6.10906,1.65565,0,0,0,0,2.78571,9.59465,1.49821,0.0002109,0.0002109,0.0972109
5,13.1089,2.88901,6.1378,1.46684,0,0,0,0,1.72489,5.81301,1.13602,0.0002416,0.0002416,0.0962416
6,13.8561,1.9575,5.43519,1.2095,0,0,0,0,1.4365,5.53694,1.02557,0.0002525,0.0002525,0.0952525
7,14.5922,3.23757,5.99337,1.29389,0,0,0,0,1.43804,5.51661,1.02643,0.0002436,0.0002436,0.0942436
8,15.2926,2.08855,4.55029,1.14813,0,0,0,0,1.51568,5.1847,1.02185,0.0002149,0.0002149,0.0932149
9,16.2023,2.08321,4.24819,1.19707,0,0,0,0,1.70608,5.04386,1.03944,0.0001664,0.0001664,0.0921664
10,16.9739,2.19664,4.11161,1.3194,0,0,0,0,1.85231,4.95382,1.06235,9.81e-05,9.81e-05,0.0910981
