epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2574.06,1.67313,1.00072,1.09117,0.90653,0.73326,0.77204,0.3541,2.00191,1.13677,1.51096,0.0005941,0.0005941,0.0005941
43,2634.7,1.68051,1.00919,1.08626,0.91233,0.71947,0.77257,0.36247,1.98145,1.11616,1.50121,0.0005842,0.0005842,0.0005842
44,2695.98,1.67653,0.9915,1.09059,0.90276,0.71559,0.76696,0.3531,2.0175,1.12416,1.55502,0.0005743,0.0005743,0.0005743
45,2757.35,1.65986,0.97958,1.08332,0.9277,0.71649,0.77046,0.36151,1.98454,1.1188,1.50925,0.0005644,0.0005644,0.0005644
46,2818.38,1.64869,0.98083,1.0757,0.89519,0.73191,0.76907,0.35815,1.99196,1.10686,1.52687,0.0005545,0.0005545,0.0005545
47,2879.1,1.6384,0.96271,1.07981,0.91472,0.72537,0.78369,0.36216,1.97364,1.09048,1.49911,0.0005446,0.0005446,0.0005446
48,2940.4,1.62873,0.95815,1.08206,0.8997,0.73811,0.78145,0.36312,2.00767,1.09407,1.5309,0.0005347,0.0005347,0.0005347
49,3001.92,1.62404,0.94872,1.07522,0.92691,0.71678,0.78253,0.36819,1.97231,1.09113,1.50321,0.0005248,0.0005248,0.0005248
50,3063.03,1.5952,0.93306,1.0698,0.91577,0.73739,0.78102,0.37518,1.92844,1.06383,1.48884,0.0005149,0.0005149,0.0005149
51,3123.77,1.61479,0.94563,1.0681,0.9176,0.73315,0.78059,0.36807,1.96491,1.07682,1.52598,0.000505,0.000505,0.000505
52,3185.01,1.58679,0.92729,1.05934,0.91551,0.72858,0.77933,0.36485,1.94783,1.08366,1.49325,0.0004951,0.0004951,0.0004951
53,3246.32,1.57188,0.91238,1.07206,0.9031,0.7165,0.76052,0.34749,2.05713,1.07551,1.59009,0.0004852,0.0004852,0.0004852
54,3307.39,1.57239,0.90821,1.05291,0.91463,0.72596,0.77847,0.37088,1.9484,1.09709,1.49472,0.0004753,0.0004753,0.0004753
55,3368.1,1.56993,0.91373,1.0494,0.8987,0.74378,0.78316,0.37006,1.98165,1.08669,1.53026,0.0004654,0.0004654,0.0004654
56,3429.25,1.54495,0.89331,1.04636,0.91806,0.74748,0.78736,0.38137,1.92849,1.06008,1.49363,0.0004555,0.0004555,0.0004555
57,3490.44,1.54134,0.89842,1.04234,0.90505,0.74966,0.78435,0.37882,1.92954,1.07575,1.50407,0.0004456,0.0004456,0.0004456
