epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.23052,3.57988,7.62841,1.91751,0,0,0,0,2.94953,6.31082,1.22086,0,0,0.1
2,4.23773,3.74342,8.50071,1.97349,0,0,0,0,3.15462,5.65503,1.22414,9.01e-05,9.01e-05,0.0990901
3,6.08488,3.31343,5.49113,1.80075,0,0,0,0,2.99965,5.33456,1.16781,0.0001604,0.0001604,0.0981604
4,7.83873,2.92885,5.17752,1.4603,0,0,0,0,2.61989,5.06428,1.11128,0.0002109,0.0002109,0.0972109
5,9.76554,2.92493,5.23704,1.40827,0,0,0,0,2.36269,4.81604,1.0689,0.0002416,0.0002416,0.0962416
6,11.6885,2.64602,4.57019,1.38505,0,0,0,0,2.15614,4.7889,1.04028,0.0002525,0.0002525,0.0952525
7,13.5814,2.10694,4.21666,1.25014,0,0,0,0,2.1321,4.76608,1.03675,0.0002436,0.0002436,0.0942436
8,15.4247,2.37317,4.44129,1.32087,0,0,0,0,2.3194,4.82721,1.06031,0.0002149,0.0002149,0.0932149
9,17.2868,1.80174,3.5374,1.15232,0,0,0,0,2.40843,4.7749,1.0973,0.0001664,0.0001664,0.0921664
10,19.109,2.09294,4.13217,1.20585,0,0,0,0,2.67607,4.78396,1.17519,9.81e-05,9.81e-05,0.0910981
