epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4769,3.71591,9.66968,2.42323,0,0,0,0,4.84424,6.19471,3.12956,0,0,0.1
2,26.401,4.18227,8.01257,2.70144,0,0,0,0,4.71007,6.34581,2.9867,9.01e-05,9.01e-05,0.0990901
3,27.0719,3.92775,7.32068,2.81375,0,0,0,0,4.60241,6.3548,2.90026,0.0001604,0.0001604,0.0981604
4,27.9744,4.08722,7.61709,2.87695,0,0,0,0,4.56229,6.33724,2.86339,0.0002109,0.0002109,0.0972109
5,28.9986,3.59876,7.8236,2.43477,0,0,0,0,4.46667,6.26241,2.80025,0.0002416,0.0002416,0.0962416
6,30.4961,4.10153,8.39673,3.06333,0,0,0,0,4.39553,4.35359,2.80846,0.0002525,0.0002525,0.0952525
7,32.383,3.56949,6.71399,2.31379,0,0,0,0,3.34266,4.22327,1.95564,0.0002436,0.0002436,0.0942436
8,33.7151,3.43732,6.65132,1.88058,0,0,0,0,2.66153,4.10146,1.75434,0.0002149,0.0002149,0.0932149
9,35.2663,2.6244,4.95206,1.70792,0,0,0,0,2.91723,3.96531,1.74805,0.0001664,0.0001664,0.0921664
10,37.1101,2.42535,4.57333,1.59561,0,0,0,0,2.78711,3.83337,1.64077,9.81e-05,9.81e-05,0.0910981
