epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57943,4.60766,8.20483,2.10021,0,0,0,0,3.25226,7.17615,1.35543,0,0,0.1
2,3.35867,3.4698,8.81717,2.18225,0,0,0,0,3.28275,7.10702,1.34731,9.505e-05,9.505e-05,0.0990951
3,4.00097,4.08856,6.6186,2.10432,0,0,0,0,3.27915,7.0029,1.34322,0.0001802,0.0001802,0.0981802
4,4.6116,5.03148,10.1686,2.63768,0,0,0,0,3.28756,6.97949,1.34386,0.00025545,0.00025545,0.0972555
5,5.15722,4.61009,12.6857,2.35971,0,0,0,0,3.24496,6.74352,1.33646,0.0003208,0.0003208,0.0963208
6,5.71118,4.8304,9.55414,2.26968,0,0,0,0,3.58597,7.06026,1.48991,0.00037625,0.00037625,0.0953763
7,6.40184,3.46441,6.49924,1.82682,0,0,0,0,3.50679,6.78667,1.5009,0.0004218,0.0004218,0.0944218
8,6.91957,3.64004,6.15775,1.64994,0,0,0,0,3.162,5.95626,1.41718,0.00045745,0.00045745,0.0934575
9,7.50688,3.39136,5.11962,1.59021,0,0,0,0,3.10987,5.62265,1.36008,0.0004832,0.0004832,0.0924832
10,8.03889,2.52086,4.70881,1.27696,0,0,0,0,3.04035,5.34902,1.47602,0.00049905,0.00049905,0.091499
11,11.8684,2.73767,4.1428,1.28754,0,0,0,0,3.37138,5.44164,1.63754,0.000505,0.000505,0.090505
12,12.4693,2.81357,4.06258,1.253,0,0,0,0,3.49006,5.34285,1.59759,0.00050105,0.00050105,0.089501
13,12.9345,2.47704,4.34091,1.22525,0,0,0,0,3.28573,5.09513,1.50909,0.0004872,0.0004872,0.0884872
14,13.4549,2.57708,4.21037,1.28451,0,0,0,0,2.71568,4.96197,1.35098,0.00046345,0.00046345,0.0874634
15,13.9306,2.49351,3.68571,1.19143,0,0,0,0,2.31651,4.72607,1.17947,0.0004298,0.0004298,0.0864298
16,14.4367,2.43659,3.41825,1.1932,0,0,0,0,2.18378,4.63031,1.10454,0.00038625,0.00038625,0.0853862
17,14.9206,2.22284,3.3252,1.15063,0,0,0,0,2.03746,4.6332,1.01293,0.0003328,0.0003328,0.0843328
18,15.3753,2.1589,2.99543,1.09937,0,0,0,0,2.03746,4.6332,1.01293,0.00026945,0.00026945,0.0832695
19,16.0864,2.64703,3.21973,1.15268,0,0,0,0,2.21132,4.66,1.03129,0.0001962,0.0001962,0.0821962
20,16.4858,3.09348,3.63822,1.15928,0,0,0,0,2.21132,4.66,1.03129,0.00011305,0.00011305,0.0811131
