epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1659,3.03463,3.83411,1.70742,0.13279,0.06496,0.0415,0.01471,3.77899,4.09313,1.90826,0.00332031,0.00332031,0.0701172
2,88.6917,2.79812,2.92766,1.60384,0.31705,0.18915,0.13707,0.04379,2.85521,3.05463,1.56974,0.00583026,0.00583026,0.0392938
3,131.993,2.66075,2.58675,1.52027,0.28859,0.23616,0.16521,0.05208,2.88024,3.01899,1.63033,0.0075152,0.0075152,0.00764541
4,144.604,2.58821,2.46331,1.49873,0.38606,0.21681,0.20779,0.07827,2.63875,2.80528,1.52028,0.0062875,0.0062875,0.0062875
