epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.80748,4.60766,8.20483,2.10021,0,0,0,0,3.25226,7.17615,1.35543,0,0,0.1
2,2.48621,3.4698,8.81717,2.18225,0,0,0,0,3.28275,7.10702,1.34731,9.901e-05,9.901e-05,0.099099
3,3.08425,4.08856,6.6186,2.10432,0,0,0,0,3.27915,7.0029,1.34322,0.00019604,0.00019604,0.098196
4,4.72187,5.03148,10.1686,2.63768,0,0,0,0,3.28756,6.97949,1.34386,0.00029109,0.00029109,0.0972911
5,5.21495,4.61009,12.6857,2.35971,0,0,0,0,3.24496,6.74352,1.33646,0.00038416,0.00038416,0.0963842
6,5.61076,4.8304,9.55414,2.26968,0,0,0,0,3.76024,7.09524,1.58613,0.00047525,0.00047525,0.0954753
7,6.15077,3.46606,6.45749,1.77699,0,0,0,0,3.44772,6.74764,1.52102,0.00056436,0.00056436,0.0945644
8,6.80432,3.63729,5.91529,1.62287,0,0,0,0,3.65614,6.57301,1.55032,0.00065149,0.00065149,0.0936515
9,7.36863,3.16658,4.68452,1.48591,0,0,0,0,3.33488,5.97578,1.5205,0.00073664,0.00073664,0.0927366
10,7.90758,2.40322,4.21045,1.24301,0,0,0,0,3.7291,5.55003,1.77337,0.00081981,0.00081981,0.0918198
11,8.45204,2.56001,4.9179,1.29645,0,0,0,0,3.30807,5.20755,1.52844,0.000901,0.000901,0.090901
12,8.90955,3.07746,4.11259,1.36428,0,0,0,0,3.02516,4.82056,1.3339,0.00098021,0.00098021,0.0899802
13,9.57182,2.67121,4.15023,1.25904,0,0,0,0,2.61639,4.80908,1.12848,0.00105744,0.00105744,0.0890574
14,10.1268,2.22384,3.6287,1.13251,0,0,0,0,2.86148,5.09073,1.1911,0.00113269,0.00113269,0.0881327
15,10.71,2.01967,3.51371,1.10476,0,0,0,0,2.84827,5.01319,1.20874,0.00120596,0.00120596,0.087206
16,11.1743,2.61379,3.4081,1.15866,0,0,0,0,2.81776,5.0535,1.2372,0.00127725,0.00127725,0.0862772
17,13.0093,2.21185,2.83372,1.2123,0,0,0,0,3.37484,5.29323,1.36792,0.00134656,0.00134656,0.0853466
18,13.4709,3.04469,4.21491,1.22386,0,0,0,0,3.37484,5.29323,1.36792,0.00141389,0.00141389,0.0844139
19,14.0325,2.87496,3.74129,1.17105,0,0,0,0,3.8719,5.50248,1.52503,0.00147924,0.00147924,0.0834792
20,14.4698,2.47524,3.3177,1.21469,0,0,0,0,3.8719,5.50248,1.52503,0.00154261,0.00154261,0.0825426
21,15.0839,3.02655,4.02896,1.35927,0,0,0,0,4.58274,5.95227,2.00775,0.001604,0.001604,0.081604
22,15.6707,1.93667,2.56511,1.16849,0,0,0,0,4.58274,5.95227,2.00775,0.00166341,0.00166341,0.0806634
23,16.1403,2.98125,3.74154,1.17253,0,0,0,0,4.5303,6.76628,2.46094,0.00172084,0.00172084,0.0797208
24,16.5459,2.16023,2.72167,1.13652,0,0,0,0,4.5303,6.76628,2.46094,0.00177629,0.00177629,0.0787763
25,17.0293,3.11427,3.33738,1.11237,0,0,0,0,4.89747,6.46647,2.63303,0.00182976,0.00182976,0.0778298
26,17.4095,2.35269,3.30661,1.1685,0,0,0,0,4.89747,6.46647,2.63303,0.00188125,0.00188125,0.0768813
27,17.8227,2.92455,2.89858,1.10642,0,0,0,0,4.56437,12.0043,2.43302,0.00193076,0.00193076,0.0759308
28,18.2295,2.3532,2.53526,1.06755,0,0,0,0,4.56437,12.0043,2.43302,0.00197829,0.00197829,0.0749783
29,18.701,2.51363,2.57606,1.02357,0,0,0,0,3.5707,65.1336,1.83524,0.00202384,0.00202384,0.0740238
30,19.1893,2.69806,3.02425,1.07758,0,0,0,0,3.5707,65.1336,1.83524,0.00206741,0.00206741,0.0730674
31,19.6187,2.27256,2.28109,1.12407,0,0,0,0,3.50715,235.686,2.03325,0.002109,0.002109,0.072109
