epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.3851,4.79848,8.53332,2.9128,0,0,0,0,5.23441,6.67755,3.16775,0,0,0.1
2,10.298,4.13308,7.611,2.41998,0,0,0,0,5.18265,6.68507,3.12281,9.01e-05,9.01e-05,0.0990901
3,10.9814,4.07222,7.82693,2.14367,0,0,0,0,5.16103,6.6911,3.11401,0.0001604,0.0001604,0.0981604
4,11.8083,3.93416,8.58244,1.92626,0,0,0,0,5.1176,6.70006,3.09815,0.0002109,0.0002109,0.0972109
5,12.4128,3.60309,8.29923,1.88926,0,0,0,0,5.08686,6.67306,3.06344,0.0002416,0.0002416,0.0962416
6,13.1647,3.73634,7.51262,2.12348,0,0,0,0,5.03415,4.36504,3.76965,0.0002525,0.0002525,0.0952525
7,14.2726,3.35158,6.78599,2.44288,0,0,0,0,3.69257,4.24951,2.31654,0.0002436,0.0002436,0.0942436
8,15.2689,2.32634,4.92629,1.56667,0,0,0,0,3.47901,4.10716,2.16868,0.0002149,0.0002149,0.0932149
9,16.4745,1.94281,4.88756,1.34856,0,0,0,0,3.35244,3.98236,2.10916,0.0001664,0.0001664,0.0921664
10,17.6777,2.10431,4.38575,1.37475,0,0,0,0,3.98522,3.8527,2.38392,9.81e-05,9.81e-05,0.0910981
