epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7437,3.08018,3.89136,1.71522,0.19334,0.13097,0.06875,0.02152,3.18492,3.87622,1.77571,0.00332026,0.00332026,0.0701176
2,90.5047,2.83368,2.97896,1.56634,0.77168,0.06211,0.05711,0.0215,3.44246,4.95941,1.84166,0.00632424,0.00632424,0.0397883
3,127.609,2.68178,2.65834,1.52951,0.33889,0.24487,0.18456,0.05899,2.93903,4.20372,1.65445,0.00899822,0.00899822,0.00912894
4,164.307,2.59876,2.45959,1.47462,0.32347,0.26812,0.20485,0.07289,2.69097,3.24473,1.55355,0.008515,0.008515,0.008515
5,204.612,2.53274,2.27414,1.43773,0.40956,0.31935,0.2775,0.09421,2.67977,2.43787,1.5038,0.00802,0.00802,0.00802
6,251.964,2.50444,2.18998,1.42035,0.48109,0.37094,0.34645,0.12555,2.55434,2.35164,1.47957,0.007525,0.007525,0.007525
7,292.787,2.4253,2.09962,1.4103,0.54874,0.37973,0.36249,0.1336,2.47065,2.23967,1.44452,0.00703,0.00703,0.00703
8,334.547,2.3723,1.99144,1.37528,0.58424,0.45306,0.42405,0.15561,2.44643,2.138,1.44708,0.006535,0.006535,0.006535
9,373.902,2.33976,1.92412,1.36288,0.57242,0.40266,0.39112,0.13989,2.45718,2.17909,1.43091,0.00604,0.00604,0.00604
10,410.885,2.33081,1.90131,1.36866,0.6365,0.47481,0.46748,0.17709,2.34702,2.03054,1.39423,0.005545,0.005545,0.005545
11,466.046,2.24966,1.83321,1.44458,0.64428,0.47138,0.469,0.18024,2.37367,2.00804,1.41154,0.00505,0.00505,0.00505
12,501.655,2.20867,1.76493,1.42336,0.69547,0.48494,0.51027,0.20496,2.28304,1.88877,1.36397,0.004555,0.004555,0.004555
13,537.205,2.17445,1.70534,1.41449,0.66058,0.48317,0.4951,0.19354,2.3347,1.94979,1.387,0.00406,0.00406,0.00406
14,573.349,2.15827,1.66475,1.39402,0.70251,0.51555,0.53794,0.20558,2.33509,1.79322,1.39224,0.003565,0.003565,0.003565
15,609,2.14041,1.61857,1.39777,0.75819,0.53852,0.56889,0.23836,2.25832,1.79578,1.36761,0.00307,0.00307,0.00307
16,644.367,2.11466,1.59268,1.3758,0.76332,0.54459,0.57622,0.24419,2.19858,1.75686,1.34266,0.002575,0.002575,0.002575
17,679.972,2.08606,1.53068,1.36441,0.8066,0.53346,0.58903,0.25459,2.20809,1.71583,1.34224,0.00208,0.00208,0.00208
18,716.723,2.06085,1.50372,1.35493,0.79801,0.55958,0.6006,0.2642,2.18142,1.68131,1.33626,0.001585,0.001585,0.001585
19,753.737,2.03966,1.47079,1.35411,0.8268,0.57345,0.61592,0.26845,2.17523,1.66536,1.33643,0.00109,0.00109,0.00109
20,790.566,2.0194,1.42709,1.34008,0.81796,0.58153,0.62085,0.27396,2.1647,1.63517,1.33208,0.000595,0.000595,0.000595
